Ano,Mes,Len_Texto_Le_palavras_sp_padrao_n,pt_sensi_P_n,pt_sensi_N_n,pt_SENSI_n,IE_E,IE_E_pred,Erro
2013,2,0.0013980210259406153,0.0013792503468805577,0.001513427260594313,-0.0011905060441339413,104.17174025931311,100.10465724601406,2.4467911541409357
2013,3,0.001380890101500281,0.0013808489344845363,0.0014944549269271471,-0.001138201174103275,103.82256121792462,100.74940807215272,0.7198642758421812
2013,4,0.0013657653327108085,0.0013844220094418498,0.0014780762636323348,-0.0010886667648663763,103.41932292895632,101.32103192853461,2.6607433169820367
2013,5,0.0013525254084982175,0.001389602541253092,0.0014638827473711,-0.0010416201971085103,102.96996861925548,101.30562826863668,1.5560611788310554
2013,6,0.0013400769704968029,0.0013943944507749158,0.001450102934595682,-0.0009964762395763692,102.48036005921674,101.25163547165127,1.2379288663310681
2013,7,0.001335394387169446,0.0014032040773111186,0.0014383964255570876,-0.0009467705319996667,101.87907270777876,101.1768505920232,0.9095876370540603
2013,8,0.001334711309432933,0.0014127287562298871,0.001423586672605442,-0.0008871888794015732,101.09583193990625,99.42320716312638,1.8354346037147218
2013,9,0.0013333109460716144,0.001416062770907547,0.001404150595319432,-0.0008285935109924005,100.35846360443146,99.64201103970039,0.8736617993658772
2013,10,0.0013312393829559232,0.0014119053407587224,0.0013820719838707174,-0.0007813009664653048,99.91138325262166,99.31977648152576,0.8936548234202274
2013,11,0.0013294974981666397,0.0014003696585544933,0.0013631606099661143,-0.0007527545602246631,99.41927943383217,99.36346714142488,0.20804487500001215
2013,12,0.001326523792933976,0.0013844177254688356,0.0013516789991451293,-0.000751979416145492,98.86691552420986,98.66484302853809,0.3899303448652116
2014,1,0.0013214407712761017,0.001366390021617168,0.0013459398492460604,-0.000775573230964536,98.42218263726866,97.60741774015439,0.5463533486451647
2014,2,0.0013167168236549792,0.0013497681920562172,0.0013509365446708731,-0.000816318569525787,97.68073630308828,96.7748225627551,0.5632144249171429
2014,3,0.0013195222362069486,0.0013429191019730528,0.0013720963965430939,-0.0008653629018703461,96.34890110521818,95.89676367638766,0.3552020228907714
2014,4,0.001309247522645525,0.0013426015341854655,0.0013873514916513318,-0.0008962001183642974,94.80963988465443,94.11233615077347,0.47654188592796304
2014,5,0.0012742928267377327,0.0013551835237607126,0.001366434513574096,-0.0011354617252811916,93.4243074509629,93.9787327212433,0.7095268239594944
2014,6,0.0017019530844571739,0.0021725010240183596,0.0025441822460136316,-0.0016977778406416092,91.91539416155852,90.82435271121447,1.2185700296253446
2014,7,0.0029712621287685797,0.0029064312461557973,0.00311055217157388,-0.002041443964152965,90.5496425265075,89.45477437808009,0.6844197143659592
2014,8,0.003436598375246121,0.00350026816827206,0.0036235739987870107,-0.0023870597795964126,89.66744790883102,88.75909086737857,0.7130318545233428
2014,9,0.004832667408274881,0.004143241591586924,0.004077829256830142,-0.002930274664926242,88.79002704815747,89.07422214125803,0.3398038349528602
2014,10,0.004843768007245998,0.004830967237612592,0.004763656083158753,-0.003246967777510137,87.65177335716947,87.96050809153132,0.3020966973596566
2014,11,0.0048548686062170705,0.004892108836694337,0.004769336394846553,-0.0031300228386897657,86.37529614707353,87.31296235898479,0.40321156561764243
2014,12,0.004865969205188087,0.00371272279133505,0.0036869770582862805,-0.0026801390939538115,84.84721400118238,86.42471574900368,0.7476790927519575
2015,1,0.003648471885413731,0.003200877166751072,0.003197776691090479,-0.002307040358752024,82.82985375061835,84.77582143243019,0.43624221006743774
2015,2,0.003105905187183194,0.002645565515245724,0.002658429814295672,-0.0019963026800060802,80.71154681452474,83.20132781673443,0.15375827141613518
2015,3,0.0020745791441195184,0.0014968820387693841,0.0015500911438878424,-0.0015888421529440485,78.79284696599838,79.76964373476481,1.1570702155569794
2015,4,0.0014456356483326922,0.001466476682042404,0.0015378985543893857,-0.0011725826208115638,76.93543873692856,77.27384924896718,1.1286523010792193
2015,5,0.0014135840619306532,0.0014496127793747755,0.0015257658200633112,-0.0011027411224670285,75.22912662926915,75.68802246137889,2.8100677987717773
2015,6,0.0014065131201331552,0.001450616297293794,0.0015257147984234205,-0.00108711254743054,73.82484650814526,74.06304118592445,1.460053854354211
2015,7,0.0014060206211819624,0.0014614600624629419,0.0015275834415858366,-0.0010669542443430549,72.55444752753873,73.33939991981053,1.5321173018044238
2015,8,0.0014102197054510228,0.0014732142209211063,0.0015317802952091457,-0.0010572026832437304,71.78557080453199,72.29126555022312,0.5722655996374898
2015,9,0.0014156296839158236,0.001484054413579275,0.0015384079154918367,-0.001057817846811127,71.39710621335144,71.87578301327429,0.28311133724638277
2015,10,0.0014250465421154963,0.0014988774610164976,0.0015511810507228988,-0.0010636035422043834,71.39315455484868,71.92986173795433,0.38537208233705056
2015,11,0.0014355421963149306,0.0015099417365239645,0.0015654704810176224,-0.0010795258500348097,71.63669737217393,72.19654615482992,0.4637921423837969
2015,12,0.0014374734173530721,0.0015058851443419331,0.0015679008665058407,-0.0010969487521973692,71.83135215188533,72.29838320911902,0.43745221496528164
2016,1,0.0014317969735745863,0.0014902274900524736,0.0015584194830318334,-0.0011076456060844443,71.80641011150614,72.40083421222377,0.7137383869409081
2016,2,0.0014219600526734328,0.001468762988591668,0.0015418973272324182,-0.0011064606968826261,72.05612606588521,72.27392349930341,0.18306119987996583
2016,3,0.0014078434097411195,0.0014468687035522562,0.0015204354428694248,-0.001093132091906314,73.02707506217777,73.26235223721683,0.07089309910455867
2016,4,0.0013956674329154116,0.0014271365406354132,0.0014990041769763764,-0.001075361060760103,74.72421206256689,77.29211199819812,2.306719194761355
