Ano,Mes,EPU_s_0.0,EPU_pred_s_0.0,Erro_s__s_0.0,EPU_s_0.05,EPU_pred_s_0.05,Erro_s__s_0.05,EPU_s_0.1,EPU_pred_s_0.1,Erro_s__s_0.1,EPU_s_0.15,EPU_pred_s_0.15,Erro_s__s_0.15,EPU_s_0.2,EPU_pred_s_0.2,Erro_s__s_0.2,EPU_s_0.25,EPU_pred_s_0.25,Erro_s__s_0.25
2020,4,312.14828489999996,301.025814856002,74.18846548566927,315.8059433649013,219.71491238967454,0.6681231675955245,279.1423582218492,242.0805259317536,42.78747478712794,235.88060627512542,250.1837464625323,27.45086737594131,228.2784898116844,199.643968226913,12.849348193511895,222.71997642025812,212.12189869799548,7.886219232129487
2020,5,308.76809689999993,260.3066785383818,23.101995229512273,308.7680968999984,219.16772043424416,1.6840780752611952,267.70181739627265,240.92604427972128,41.02216545635835,244.48435048604642,229.59784319873827,7.047949994891962,236.8271881189892,215.0604712098807,9.956564845227968,227.16930133237008,218.59315785982747,8.476469941065107
2020,6,115.9407883,192.51522035647238,15.307090365288115,239.87602235000122,219.68193629583124,1.4126250926008421,251.86900790570016,249.41158351360153,27.259306568866894,253.05462066989244,245.91799342163318,9.308656591900412,244.97426243109066,238.66847490943022,11.104919753526918,231.0181355153915,224.2806158369779,7.953421447509776
2020,7,170.9839478,189.43263163547692,35.540372683522065,170.98394780000035,220.4596173687772,1.4591968493020469,237.6151055948193,232.1369069759851,21.484676148914758,257.88204156722054,215.85734373816246,19.963258525733316,247.1731812452799,229.0353332701047,18.71414928972403,234.64366045993273,227.80851410158138,7.567482996105309
2020,8,263.13500980000003,224.48070013959727,27.417001192372023,224.15683485845875,218.78742577761247,2.185422732754878,235.48755559397515,211.20803704112595,19.034501705411095,256.6455111368631,221.99175774422187,17.698232176225936,247.48719888954335,237.08711707165773,8.474507855637924,238.11145085608527,232.33878227635088,6.23829956706089
2020,9,227.68542480000002,228.79666789920353,26.452680610909745,251.78854766861699,220.6238055607236,1.3440988653212327,255.34741443649125,224.89459141614515,14.04040488398271,252.5229006791854,208.76731623396483,15.136737986807361,247.41111813592556,242.278094432612,5.61998622254836,241.46437572842376,236.09326371363989,5.623332448822734
2020,10,345.43573,214.98433365216493,14.870330390711693,258.5504055706243,220.63945463584014,2.009234503161538,273.1850705018802,230.35968376290225,26.15969963624002,249.8919704876894,232.76622434833268,8.234028201427883,247.22688609660895,243.7849806068123,2.676814660144406,244.7223353690181,239.63879027174153,5.190641760758469
2020,11,265.04974369999996,218.02603578128284,38.64649577586966,281.39991300966733,220.88740829790083,0.7868158147186458,272.33176851242314,234.43560201154762,21.627881564925744,248.1906376419282,238.96954138012592,7.529795628114084,247.03114036254541,245.4063275721291,1.4641240030854668,247.89178959557964,242.47866891435152,4.60993280341317
2020,12,324.88372799999996,235.30631355658443,27.649782367978823,252.73168153675812,221.51565959973053,1.1447367172505996,257.4436932580246,244.10574567539857,21.34354707615469,246.8613532202328,241.00172697281508,3.086879189128887,246.7987824060824,245.42064066380888,1.1596234760431023,250.95038606841078,245.85847208079994,4.258248606239075
2021,1,204.1461182,184.54043193632216,21.211292557771014,228.73340423548512,222.11363172714718,0.9563917782177577,244.99242900459663,240.2309215483537,17.038508981182748,245.3163633214351,244.25225513721554,2.2277806291229365,246.45433526652857,245.34916540543497,1.5655452278618167,253.86166403056237,249.08244673498314,3.044769155962388
2021,2,201.5782471,186.60704323508563,18.115721710093144,212.47245670684998,221.563360717289,1.0314048995876948,230.67520534139618,237.66038906230023,13.377043380346674,243.08375720665515,244.74996435145036,0.7167593687015728,245.8860601507246,241.88756361466596,3.283917800390387,256.5762226295177,252.12739144273678,3.4641134957999347
2021,3,239.1245728,195.98945001664327,15.526559716202316,234.85185887104157,222.15938644464455,1.3331960039442194,215.15831642409225,227.63085419216054,8.753856638402555,240.02090872615523,243.6297997798967,0.5502474150043546,245.04084063149293,243.96762370560927,1.643523383975716,259.07061687095586,254.92405815182053,3.235524262885377
