Ano,Mes,Len_Texto_Le_palavras_sp_padrao_n,pt_sensi_P_n,pt_sensi_N_n,pt_SENSI_n,EPU,EPU_pred,Erro
2013,2,0.0013746674902764436,0.001383162610434292,0.0015190541708541617,-0.0011967735637974047,138.98217260140567,147.36487114951464,6.7974751202934245
2013,3,0.0013676790735101573,0.0013872172748069518,0.001502535087106074,-0.0011454542222679067,139.91683803456968,152.10433829954155,8.943206646193865
2013,4,0.0013612182437134942,0.0013911172063458346,0.0014859513289455638,-0.0010942561801458347,140.4847676186285,142.81900631177592,3.0622631508639273
2013,5,0.0013551278897606701,0.001394616795028909,0.0014690560704503628,-0.0010430469552694674,140.73030466912505,141.98684282371676,0.9581135568271578
2013,6,0.0013490969126555578,0.001397338997519834,0.0014515419643328345,-0.0009917979088559558,140.64217137657252,141.67109736382497,0.9472013895445514
2013,7,0.001342871877500289,0.001399122738202138,0.001433306881597047,-0.0009405805149429513,140.12196145648244,141.4380972882005,1.2212648571203562
2013,8,0.0013364978137202553,0.0014003093235220212,0.0014148593080961448,-0.0008901080342834886,138.67043993774078,139.53095604236776,2.3387680537409965
2013,9,0.0013308311270668106,0.0014020289574478274,0.0013976983039837773,-0.000842143864200239,137.11220027526886,143.2383011273627,6.565834855463994
2013,10,0.0013286959250520742,0.0013980751285543815,0.00138625543775736,-0.0008196215389959205,138.4322185739042,143.05580281507284,5.6568038587336655
2013,11,0.0013279044658290667,0.0013910679145376736,0.0013776785377749624,-0.0008107869270582515,140.63144364047656,142.90155544915606,2.885972185473546
2013,12,0.0013259097349990851,0.0013786883342173837,0.0013680605706244636,-0.0008075980393953867,140.9842716698255,145.3070696215257,4.218183473145971
2014,1,0.0013217725217436963,0.00136076133385137,0.0013585401777139643,-0.000810052779932175,138.8432233839898,143.05444827589903,3.7561914571101145
2014,2,0.0013175911936859476,0.001339449520843056,0.001355823037380392,-0.0008259243723009274,136.53761976968457,149.78399724983058,12.150734456031651
2014,3,0.0013165755407001636,0.0013158816492628179,0.0013665590311189866,-0.0008625066935830291,136.9154452452215,150.32239888883544,9.44736486789826
2014,4,0.0013262356784193067,0.0012968069307650286,0.0013936364073816794,-0.0009118311239137637,139.6570687233255,149.34211471754654,8.74881173899249
2014,5,0.0013359467030798924,0.001277161680494819,0.0014175784972183646,-0.0009477333769320645,141.53750546297724,147.38129542299535,5.004248640719153
2014,6,0.001301787438165679,0.0012400108601802367,0.0014040571711337354,-0.0009560722759708136,141.07520069790502,144.89421953969855,5.674760165250944
2014,7,0.0012246785534762601,0.0012276446385861214,0.0013348060950355714,-0.0010117290597401692,139.62641260293088,142.04427185156692,5.398272703361975
2014,8,0.0011622042272006487,0.0012869534284428155,0.0011744150762802988,-0.0012819477813526049,140.62411901554,198.66296603796965,23.81851365060546
2014,9,0.0012235528453881407,0.0013781387459806428,0.0009064441732825439,-0.0013643884816948752,148.1840345883706,166.62443219219577,12.727623401551618
2014,10,0.0048437680072459756,0.001391923066900645,0.0014396110262786153,-0.0011828334237373856,162.62702079606387,174.23590655017674,4.751970524966756
2014,11,0.004854868606217065,0.001642201958119479,0.0015315236294866598,-0.0012039304349918865,178.36774019936686,182.28084122051564,3.2809272928862083
