Ano,Mes,Len_Texto_Le_palavras_sp_padrao_n,pt_sensi_P_n,pt_sensi_N_n,pt_SENSI_n,IPCA,IPCA_pred,Erro
2013,2,0.0013980210259406153,0.0013792503468805577,0.001513427260594313,-0.0011905060441339413,0.6017648095138141,0.5214323159108989,0.01802755569308616
2013,3,0.001380890101500281,0.0013808489344845363,0.0014944549269271471,-0.001138201174103275,0.5231715175589006,0.4834330753722023,0.01437247808037539
2013,4,0.0013657653327108085,0.0013844220094418498,0.0014780762636323348,-0.0010886667648663763,0.4448716445738793,0.4293370212324667,0.010030429285822616
2013,5,0.0013525254084982175,0.001389602541253092,0.0014638827473711,-0.0010416201971085103,0.37022442554983553,0.3827842098599056,0.007712446295953862
2013,6,0.0013400769704968029,0.0013943944507749158,0.001450102934595682,-0.0009964762395763692,0.30056174302139904,0.3099749026668129,0.005967424051708939
2013,7,0.001335394387169446,0.0014032040773111186,0.0014383964255570876,-0.0009467705319996667,0.2784552118930378,0.30049245403835156,0.004088021821333142
2013,8,0.001334711309432933,0.0014127287562298871,0.001423586672605442,-0.0008871888794015732,0.30251552905641216,0.30985832261948093,0.0035128622526443987
2013,9,0.0013333109460716144,0.001416062770907547,0.001404150595319432,-0.0008285935109924005,0.37519968878632437,0.353617033416611,0.006203694250930063
2013,10,0.0013312393829559232,0.0014119053407587224,0.0013820719838707174,-0.0007813009664653048,0.48700319609564774,0.4398198308985306,0.005188976968082896
2013,11,0.0013294974981666397,0.0014003696585544933,0.0013631606099661143,-0.0007527545602246631,0.56698554628602,0.5239179705300793,0.009053237313458855
2013,12,0.001326523792933976,0.0013844177254688356,0.0013516789991451293,-0.000751979416145492,0.6286398202600791,0.5883122699897465,0.02142139202428505
2014,1,0.0013214407712761017,0.001366390021617168,0.0013459398492460604,-0.000775573230964536,0.6799529411272699,0.6563129112665665,0.011314248108980835
2014,2,0.0013167168236549792,0.0013497681920562172,0.0013509365446708731,-0.000816318569525787,0.692587464308273,0.6486060647080407,0.015060417463376975
2014,3,0.0013195222362069486,0.0013429191019730528,0.0013720963965430939,-0.0008653629018703461,0.657360506471393,0.6185948449341536,0.017080960039904135
2014,4,0.001309247522645525,0.0013426015341854655,0.0013873514916513318,-0.0008962001183642974,0.6013013027817463,0.5791757946077795,0.009087885864255494
2014,5,0.0012742928267377327,0.0013551835237607126,0.001366434513574096,-0.0011354617252811916,0.5066055152564042,0.5371766620024994,0.007615147304571392
2014,6,0.0017019530844571739,0.0021725010240183596,0.0025441822460136316,-0.0016977778406416092,0.4146481973537628,0.570603331723786,0.028636734790746257
2014,7,0.0029712621287685797,0.0029064312461557973,0.00311055217157388,-0.002041443964152965,0.380470819799618,0.5412421992448134,0.03756449263326411
2014,8,0.003436598375246121,0.00350026816827206,0.0036235739987870107,-0.0023870597795964126,0.37523991498564635,0.5206886602268397,0.037733996041912875
2014,9,0.004832667408274881,0.004143241591586924,0.004077829256830142,-0.002930274664926242,0.40567002811178765,0.5117175728199801,0.014153328189848923
2014,10,0.004843768007245998,0.004830967237612592,0.004763656083158753,-0.003246967777510137,0.5103426874146486,0.5676301733596457,0.0046384468119875675
2014,11,0.0048548686062170705,0.004892108836694337,0.004769336394846553,-0.0031300228386897657,0.6645887183867925,0.6798760612119445,0.01747000397836154
2014,12,0.004865969205188087,0.00371272279133505,0.0036869770582862805,-0.0026801390939538115,0.8325869253579655,0.8003922763662219,0.02564553116171936
2015,1,0.003648471885413731,0.003200877166751072,0.003197776691090479,-0.002307040358752024,0.9753942777812721,0.8377625452412578,0.03631564866606657
2015,2,0.003105905187183194,0.002645565515245724,0.002658429814295672,-0.0019963026800060802,1.0130350270467274,0.8485188802759678,0.0483375683518387
2015,3,0.0020745791441195184,0.0014968820387693841,0.0015500911438878424,-0.0015888421529440485,1.000461012849317,0.939214599912915,0.038350889306155996
2015,4,0.0014456356483326922,0.001466476682042404,0.0015378985543893857,-0.0011725826208115638,0.9298555355952087,0.8396162657961005,0.039275478556405174
2015,5,0.0014135840619306532,0.0014496127793747755,0.0015257658200633112,-0.0011027411224670285,0.8062783028050369,0.7039845173812365,0.0345923456989243
2015,6,0.0014065131201331552,0.001450616297293794,0.0015257147984234205,-0.00108711254743054,0.7018773958169034,0.6545758056470726,0.029175842953343044
2015,7,0.0014060206211819624,0.0014614600624629419,0.0015275834415858366,-0.0010669542443430549,0.6667076826269099,0.6459558571631113,0.02555652666898312
2015,8,0.0014102197054510228,0.0014732142209211063,0.0015317802952091457,-0.0010572026832437304,0.6843357763998408,0.6624418974778222,0.02503408231491416
2015,9,0.0014156296839158236,0.001484054413579275,0.0015384079154918367,-0.001057817846811127,0.7210626185157981,0.7389129264367416,0.028900336999234586
