Ano,Mes,Len_Texto_Le_palavras_sp_padrao_n,pt_sensi_P_n,pt_sensi_N_n,pt_SENSI_n,selic,selic_pred,Erro
2013,2,0.0013601750963620214,0.001399759584558917,0.001484892088050493,-0.0010653065775173007,6.802604900740703,7.711651991238282,0.35273937357244384
2013,3,0.0013567411850292724,0.001398430712125233,0.00147422775170901,-0.00104134030732452,7.088861869511976,7.507306063681294,0.3243569744882165
2013,4,0.0013534406357416451,0.0013970592799877118,0.0014638185235343673,-0.0010182198167722459,7.371714085446863,7.584824019328613,0.32654595608754755
2013,5,0.001350256495573384,0.0013956485700740491,0.0014536676829509073,-0.0009959616397680992,7.651387741292118,7.834672267752526,0.24493727066039084
2013,6,0.0013471549049278362,0.0013942035873601075,0.0014437626950067988,-0.0009745339189675804,7.928140607838028,8.09092274154669,0.04512726792624503
2013,7,0.0013441132914517584,0.0013927654206276165,0.0014341040502090572,-0.000953861995743782,8.202405452395666,8.316249884081593,0.04259167875264795
2013,8,0.0013411365735742612,0.0013914110089842844,0.001424724227492763,-0.0009338834938040963,8.474836900635461,8.575327492690644,0.04616932498181226
2013,9,0.001338248728714855,0.0013902107317811916,0.0014156530208275463,-0.0009145390278482411,8.745984327798089,8.791847389467957,0.06786174970159847
2013,10,0.0013354891243143555,0.0013892173673994827,0.001406908255037988,-0.0008957677563136204,9.01627833450942,8.999994723447273,0.031398701455637654
2013,11,0.0013329429765286205,0.001388489390566105,0.0013985171163305799,-0.00087752447255169,9.286026103855246,9.15408427487426,0.02005418987465702
2013,12,0.0013307252591339123,0.0013880173366985007,0.0013905166672537434,-0.0008599595432982075,9.554634348930168,9.241960165682576,0.13149487485080597
2014,1,0.0013290226472733378,0.0013876653663880013,0.0013830737150073269,-0.0008438027635618669,9.81731667075357,9.959500773857531,0.03533711119771386
2014,2,0.0013281610915790302,0.0013871230683825324,0.0013767533619047524,-0.0008312571696364286,10.040999460676474,10.061041035777519,0.009954647649408468
