Ano,Mes,ICE_s_0.0,ICE_pred_s_0.0,Erro_s__s_0.0,ICE_s_0.05,ICE_pred_s_0.05,Erro_s__s_0.05,ICE_s_0.1,ICE_pred_s_0.1,Erro_s__s_0.1,ICE_s_0.15,ICE_pred_s_0.15,Erro_s__s_0.15,ICE_s_0.2,ICE_pred_s_0.2,Erro_s__s_0.2,ICE_s_0.25,ICE_pred_s_0.25,Erro_s__s_0.25
2020,3,89.6,96.08346145432809,1.8612842212095093,89.6,90.57404597007049,0.1783593406194106,90.29071397311154,89.8066515431525,0.6454473320762999,92.1013481074188,90.90487322085717,1.5429969759313815,94.57901660140577,93.8305184918897,0.8849883416790629,94.91212692302389,94.79316583352012,0.028754766256390462
2020,4,55.9,75.31079808887095,3.079033604122031,55.9,84.48721294815687,1.976755242388722,89.12635846107301,88.10805908007144,0.5314667988225111,91.64649210310628,88.44841043240426,0.7866513134689294,94.74009230151863,94.03444017385868,0.763343411862486,94.85182297622276,94.8799211827273,0.005415678173334268
2020,5,65.6,74.56137889688266,1.1498291652073884,65.6,84.00846937958985,0.38743723920336604,88.25067472994792,87.05226057943138,0.2767663080230647,91.49671846758568,88.92152692603896,0.588181886032647,94.82310849708674,94.35109419451258,0.524915754022182,94.75756206576416,94.85430073081893,7.399153000614752e-05
2020,6,80.4,83.02591309193154,3.4116622184733965,76.5,92.30466249548896,1.8939856862295632,87.34907468041271,88.03931096806505,0.1962163156307592,91.68682497193441,90.87882180803363,1.933236457251073,94.77342897647951,94.6032991014306,0.2890538522698575,94.66377906997747,94.78879454341377,0.0010646356318954836
2020,7,87.4,83.32507634690722,1.8005390739733875,87.39999999999904,90.6315848573691,1.5184019445111232,87.00209080655168,89.97387343061504,0.304531222714775,91.81700473308788,90.8364533753315,1.553193905676825,94.63802121004016,94.6273638183938,0.21781080302588565,94.57330892281523,94.68892169937565,0.0028277907069951228
2020,8,94.4,96.99597377133222,1.0929014763628218,92.72560145067078,96.02047102319781,1.0385407583338784,89.90753367535436,92.16810208988355,0.677093626087009,91.9412383962017,84.69822572806015,2.2637521509551712,94.51083832369419,94.48920274517718,0.2995038684543418,94.48625639432103,94.56725124113073,0.034055742930560205
2020,9,97.5,94.70594091839953,0.7764152652867005,96.80503982074444,94.30328515852297,0.7439057774109673,92.1066074742138,93.26665615629545,0.49272272017805174,92.58835495264427,90.36360197451184,1.8714950635088536,94.395446952018,94.2743663853372,0.3701600063274985,94.40298991532775,94.4885484237412,0.026899141372516918
2020,10,97.1,97.29331765420895,0.5443331918092109,96.80544372218935,94.12952751064351,0.951479364990996,94.44068672855185,93.78794410788204,0.35735363365940676,93.22391616332148,90.89483487878846,1.572674496347185,94.28957553060044,94.23149768125425,0.2772699379071365,94.32339307673351,94.44025452969767,0.00635053163318912
2020,11,95.5,86.08972585371176,3.286003293625796,95.83666742849877,89.00558220271296,3.7239387037115343,94.87340513672439,94.17789976570376,0.5857801661336723,93.85816248990946,91.80969674884086,2.206341138412149,94.18799166549407,94.1930244552922,0.17170764479959721,94.24605637935377,94.29725658242211,0.054633558119647874
2020,12,95.1,91.55378539679946,3.283252918598927,94.55465686012708,91.20046107526545,1.7810752667695815,94.11046926768316,94.78010655660006,0.7264630128047679,94.48174270105186,92.4455489463165,2.1802498842407765,94.08362123277334,94.09861574647738,0.10548270446919296,94.16858604137384,94.28085811585522,0.0015456854952450461
2021,1,92.9,87.77171667235962,0.36120787593999526,93.01037216674517,88.72391144609594,1.8870683514024946,92.99980162000905,95.19385632340342,1.1262949686833592,95.07262645617317,92.89434500742132,2.398167015568403,93.96897827715594,94.02451738251905,0.04677089868366981,94.08819801688787,94.16241809438682,0.0001264019308401065
2021,2,91.1,87.88433417489632,0.6431184397111591,91.05513668510909,87.83584354683543,0.4600842536776587,91.7219292895374,95.04638682247977,1.588005211823797,95.61121946577299,93.30107263612368,2.6141624598820794,93.8372845789666,93.95837961341755,0.022137583708931628,94.00222507192487,94.08058560615937,0.047072906532132794
