Ano,Mes,Len_Texto_Le_palavras_sp_padrao_n,pt_sensi_P_n,pt_sensi_N_n,pt_SENSI_n,ISA_E,ISA_E_pred,Erro
2013,2,0.0037920172263112934,0.004225283315395898,0.004932818888257917,-0.004377231418369744,102.6,94.31805696557112,0.5855121753620118
2013,3,0.0014032259087565974,0.0013986720543315153,0.0015265193178159596,-0.0011819208532333745,102.2,96.8349243517213,0.44929819764404927
2013,4,0.0013804210175305805,0.0014170251331542929,0.0014907430855694457,-0.0010573149355682764,101.8,96.47226252935499,0.5014668567443703
2013,5,0.0013251438156541622,0.0013300132352064712,0.0014327892180284179,-0.0010767121743586398,103.1,99.97856394566176,0.18774649793611253
2013,6,0.001293020805898037,0.0013371741827534406,0.0013620518169999772,-0.0008855399733010598,102.4,100.34044572601091,0.7050761755255633
2013,7,0.0013320167139339782,0.0014507436680048565,0.0014760652312947843,-0.000956560711002691,100.7,98.98443248881232,0.7311445981920077
2013,8,0.001369179510177556,0.001463140897219753,0.0014799346560650589,-0.0009427808289844871,101.9,96.79851121210804,0.49177343886273056
2013,9,0.0012841632035160422,0.0013375364747556628,0.0013985960898221103,-0.0009766053745675928,101.5,99.50389353594126,0.5313623033292713
2013,10,0.0014180157932928903,0.0015577338155171162,0.0014585858330350941,-0.0007099103360076514,100.8,96.00581184277095,0.38576341242518053
2013,11,0.0013389795305117477,0.0014278839747989323,0.0013052313738279007,-0.0005709697826073337,99.6,95.23514325005276,0.4702230969003032
2013,12,0.00123536074438059,0.0012815916026553728,0.0012365583801731616,-0.000675801103561761,99.6,96.61012462091524,0.7895826334986008
2014,1,0.00133256695931427,0.001419229955686788,0.001320244174121239,-0.0006250633965847278,97.4,94.94411202489957,0.3156477616073583
2014,2,0.0013438004553126776,0.0013445235789559546,0.0013634571486974309,-0.0008751399830613826,97.6,90.58892199553432,1.6911834878140437
2014,3,0.0013095778426632126,0.0012935069328294535,0.0014334348181625721,-0.0011475188011316158,97.2,92.3610100463684,1.6807411591041936
2014,4,0.001295240343117349,0.001307612235021323,0.0013456030440159015,-0.0009002668718679232,96.5,93.89575537356497,0.4101044436928086
2014,5,0.0012980454178831364,0.0013923390074842483,0.0013345219515309573,-0.0007118736954894692,93.6,86.54618425730489,1.729914770317838
2014,6,0.0014228879455039259,0.00149867317580862,0.0015285082080500139,-0.0009973950752918779,92.9,89.05024782509658,0.41143534300197004
