Ano,Mes,Len_Texto_Le_palavras_sp_padrao_n,pt_sensi_P_n,pt_sensi_N_n,pt_SENSI_n,IBC_BR,IBC_BR_pred,Erro
2013,2,0.0013980210259406153,0.0013792503468805577,0.001513427260594313,-0.0011905060441339413,144.41507260465008,141.03798793469295,1.197107557770162
2013,3,0.001380890101500281,0.0013808489344845363,0.0014944549269271471,-0.001138201174103275,145.00831091331648,142.63365644489866,1.1303220756562613
2013,4,0.0013657653327108085,0.0013844220094418498,0.0014780762636323348,-0.0010886667648663763,145.5745994991601,145.03711090846596,0.660394080324449
2013,5,0.0013525254084982175,0.001389602541253092,0.0014638827473711,-0.0010416201971085103,146.1379938368788,146.1205580830802,0.23901346875889629
2013,6,0.0013400769704968029,0.0013943944507749158,0.001450102934595682,-0.0009964762395763692,146.68489055793097,146.72004381351186,0.048623202506203805
2013,7,0.001335394387169446,0.0014032040773111186,0.0014383964255570876,-0.0009467705319996667,147.02934416022998,147.08201945982714,0.03741210866294216
2013,8,0.001334711309432933,0.0014127287562298871,0.001423586672605442,-0.0008871888794015732,147.3524347538913,147.22217673044986,0.14307477642797695
2013,9,0.0013333109460716144,0.001416062770907547,0.001404150595319432,-0.0008285935109924005,147.71433036704695,147.10513819205067,0.8329376611895556
2013,10,0.0013312393829559232,0.0014119053407587224,0.0013820719838707174,-0.0007813009664653048,148.04452383800606,147.6985827013516,0.20559869809924428
2013,11,0.0013294974981666397,0.0014003696585544933,0.0013631606099661143,-0.0007527545602246631,148.2416659962392,147.6412551002948,0.5037347056576612
2013,12,0.001326523792933976,0.0013844177254688356,0.0013516789991451293,-0.000751979416145492,148.27825025797154,147.09785880189065,0.9792081175667906
2014,1,0.0013214407712761017,0.001366390021617168,0.0013459398492460604,-0.000775573230964536,148.18665627469665,147.4324926869931,0.8333613521985993
2014,2,0.0013167168236549792,0.0013497681920562172,0.0013509365446708731,-0.000816318569525787,147.92115443021734,147.12437875909544,0.4716568990632068
2014,3,0.0013195222362069486,0.0013429191019730528,0.0013720963965430939,-0.0008653629018703461,147.49557089346263,146.62897327994565,0.5474854649574885
2014,4,0.001309247522645525,0.0013426015341854655,0.0013873514916513318,-0.0008962001183642974,146.95110778851418,146.56412823707777,0.2680696708289081
2014,5,0.0012742928267377327,0.0013551835237607126,0.001366434513574096,-0.0011354617252811916,146.40378324052628,146.3933341068987,0.15467788510160937
2014,6,0.0017019530844571739,0.0021725010240183596,0.0025441822460136316,-0.0016977778406416092,146.0620268146297,143.53600822267572,0.9018732642639011
2014,7,0.0029712621287685797,0.0029064312461557973,0.00311055217157388,-0.002041443964152965,145.81197382616793,145.09375738369855,0.6010860790465915
2014,8,0.003436598375246121,0.00350026816827206,0.0036235739987870107,-0.0023870597795964126,145.59073082897467,144.5333859759057,0.758006558625938
2014,9,0.004832667408274881,0.004143241591586924,0.004077829256830142,-0.002930274664926242,145.5975908582422,144.7936314776199,0.304595607811274
2014,10,0.004843768007245998,0.004830967237612592,0.004763656083158753,-0.003246967777510137,145.68890473017842,145.07599924549453,0.42450208962376457
2014,11,0.0048548686062170705,0.004892108836694337,0.004769336394846553,-0.0031300228386897657,145.58296733292806,144.866188779043,0.4547631345433773
2014,12,0.004865969205188087,0.00371272279133505,0.0036869770582862805,-0.0026801390939538115,145.29081563383494,144.48509416983396,0.31973871028867246
2015,1,0.003648471885413731,0.003200877166751072,0.003197776691090479,-0.002307040358752024,144.88090753707883,144.88574872903672,0.055557588876992955
2015,2,0.003105905187183194,0.002645565515245724,0.002658429814295672,-0.0019963026800060802,144.2361732322378,144.36054593225597,0.16823077454809665
2015,3,0.0020745791441195184,0.0014968820387693841,0.0015500911438878424,-0.0015888421529440485,143.30346851606396,142.41279810312633,0.3539280898641816
2015,4,0.0014456356483326922,0.001466476682042404,0.0015378985543893857,-0.0011725826208115638,142.21969861617828,140.93412083838945,0.4121581563236863
2015,5,0.0014135840619306532,0.0014496127793747755,0.0015257658200633112,-0.0011027411224670285,141.1197630475155,140.05549093821955,0.04512955775207115
2015,6,0.0014065131201331552,0.001450616297293794,0.0015257147984234205,-0.00108711254743054,140.108865516723,139.57024825000332,0.08647294058139061
2015,7,0.0014060206211819624,0.0014614600624629419,0.0015275834415858366,-0.0010669542443430549,139.2503973274562,139.12573543776446,0.04935818088441528
2015,8,0.0014102197054510228,0.0014732142209211063,0.0015317802952091457,-0.0010572026832437304,138.60191721079568,138.7416347098731,0.024224868510513958
2015,9,0.0014156296839158236,0.001484054413579275,0.0015384079154918367,-0.001057817846811127,138.05966472703813,138.3104895768341,0.05487076393186223
2015,10,0.0014250465421154963,0.0014988774610164976,0.0015511810507228988,-0.0010636035422043834,137.53768351278453,137.4915268364749,0.13555401358431662
2015,11,0.0014355421963149306,0.0015099417365239645,0.0015654704810176224,-0.0010795258500348097,137.0022873163386,136.74116349151606,0.042451243803892987
2015,12,0.0014374734173530721,0.0015058851443419331,0.0015679008665058407,-0.0010969487521973692,136.47237086952413,136.48747452915433,0.002472409939875826
2016,1,0.0014317969735745863,0.0014902274900524736,0.0015584194830318334,-0.0011076456060844443,135.92504414983551,136.14469477982865,0.07679578099634166
