Ano,Mes,IE_E_s_0.0,IE_E_pred_s_0.0,Erro_s__s_0.0,IE_E_s_0.05,IE_E_pred_s_0.05,Erro_s__s_0.05,IE_E_s_0.1,IE_E_pred_s_0.1,Erro_s__s_0.1,IE_E_s_0.15,IE_E_pred_s_0.15,Erro_s__s_0.15,IE_E_s_0.2,IE_E_pred_s_0.2,Erro_s__s_0.2,IE_E_s_0.25,IE_E_pred_s_0.25,Erro_s__s_0.25
2020,3,86.7,97.64278927557773,1.0363981074433917,86.7,92.43962695504406,0.4173876490252772,95.6941764468226,90.58788246045005,0.4609392331288588,91.92726424482845,91.26932244696307,1.3739741363211087,95.73279586013454,95.82044008874263,0.12579747676645694,97.42462780738528,97.59157968303373,0.05622090938031514
2020,4,50.3,77.50355575557343,3.2065457160112176,50.3,86.42650441073947,0.08013904246273208,92.78459129588772,89.69181932989932,1.3141899204445824,90.8824230340811,90.72593579242445,0.14442279953999532,95.6325268238268,95.71978420631086,0.0839414868970963,97.07163593773991,97.45843490842306,0.049517168223304285
2020,5,62.6,77.42214790372809,3.2231201841444044,62.6,85.74307476893726,1.0811301058584362,89.67625718268735,89.48222322246605,1.506885174992807,89.66831966762689,90.76540014287475,0.6542118610311367,95.38713050432649,95.60526676580965,0.06682051934593088,96.72337188879662,97.08745016053369,0.13945343840399577
2020,6,82.9,83.32051478960639,4.5425790578095615,76.3,94.44464756019043,0.9111999660121567,82.91148882890171,90.10485749806608,0.9561201240574876,89.27881737720367,90.92101051920159,0.8091793624246227,95.17974775741968,95.42048271616268,0.006890150729317625,96.37931430209035,96.73146899375605,0.028336387344998853
2020,7,90.0,87.6255236782524,1.5492529808207745,90.00000000000044,94.78115097767103,1.194911175493713,88.67204768175098,91.01063859520173,0.47257371732748793,89.95569114576945,91.03001883509268,1.1548451628789222,94.87404675018637,95.26669289221728,0.0858097853087294,96.03189245998075,96.43721400496297,0.03853417104796274
2020,8,96.6,100.62390806530033,0.6286708016085956,96.60000000000046,98.76206810600858,0.3819267108962165,90.79101683463482,91.94356089066937,0.9182371192528634,90.86713699340285,89.3329161533456,2.621547354144047,94.56121812373243,94.98467675001099,0.1262271152128087,95.6789721544241,96.06446251643382,0.02639870747610978
2020,9,101.4,98.38315182093253,1.0003692247737133,97.44999999999999,95.39819337493513,1.3480052656284038,92.4548049564295,93.09410902302933,1.9077915836347052,91.61068150727891,90.2713942741726,0.4010874917489474,94.26916517378625,94.73486698540063,0.17580061473682732,95.32200355110074,95.76820610396406,0.03156027364509008
2020,10,98.3,99.6790132579771,0.6005855017408105,98.30000000000085,98.56248817929962,0.4158092779427396,94.43590041774495,93.11937332620158,2.1995078577952456,92.22288660338106,90.80329977192854,0.33587247031531436,94.00445593617873,94.49008579177051,0.33374347124158193,94.96195645349661,95.47549390042707,0.19283167899866893
2020,11,94.2,86.43881429542974,4.626599662597575,95.86617627013808,90.63290236845488,1.705994434061311,94.47743818066405,93.05977096880548,1.849849240187377,92.76421303322485,90.97126095850206,0.6214044508379938,93.76448497584163,94.27916336976875,0.3916568254707035,94.59821399839582,95.20287609467921,0.3761956604728242
2020,12,94.5,95.24899827814244,5.46076758630826,94.0197299285795,94.88582066728138,1.5119960582100531,93.84500069716641,92.90349588472517,1.662226510452046,93.25030257557735,90.81894488962946,0.8529306825732098,93.54184161434247,94.02651234083416,0.45341511996572437,94.2291376203976,94.91186117663776,0.7069038624028281
2021,1,92.7,87.98919110101032,0.26397185689967206,92.95504473741639,87.78903106427713,0.17881763160010858,92.97443374186959,92.44269074741376,1.3697078423656586,93.67613917605105,91.03918910353906,1.0054874663010858,93.3283966380847,93.79542363130189,0.433023092591904,93.85334136013947,94.50066768126514,0.6524561515485835
2021,2,91.8,88.05060731476932,0.6033014067377581,91.69598511441549,88.44247038059355,0.31204088172068684,91.99119662850867,91.97024204162422,0.8230863232915011,94.03241183425615,91.12738057235029,1.170893974195001,93.11634550760421,93.74443308450275,0.8325092190321262,93.46975303311959,94.04416172177979,0.3193562338134259
