Ano,Mes,Len_Texto_Le_palavras_sp_padrao_n,pt_sensi_P_n,pt_sensi_N_n,pt_SENSI_n,EPU,EPU_pred,Erro
2013,2,0.0037920172263112934,0.004225283315395898,0.004932818888257917,-0.004377231418369744,69.93822479,97.89807771030758,6.439475405824779
2013,3,0.0014032259087565974,0.0013986720543315153,0.0015265193178159596,-0.0011819208532333745,205.75450130000002,219.8531332571059,7.740502186156354
2013,4,0.0013804210175305805,0.0014170251331542929,0.0014907430855694457,-0.0010573149355682764,130.49676509999998,176.39158462349096,18.304512982731666
2013,5,0.0013251438156541622,0.0013300132352064712,0.0014327892180284179,-0.0010767121743586398,145.1582336,159.92160468568517,13.361236643391706
2013,6,0.001293020805898037,0.0013371741827534406,0.0013620518169999772,-0.0008855399733010598,131.4640656,150.90978525496848,20.341964351955976
2013,7,0.0013320167139339782,0.0014507436680048565,0.0014760652312947843,-0.000956560711002691,162.39811709999998,185.7059269365105,15.850855055397654
2013,8,0.001369179510177556,0.001463140897219753,0.0014799346560650589,-0.0009427808289844871,187.2889709,221.65388374717685,6.678005753060824
2013,9,0.0012841632035160422,0.0013375364747556628,0.0013985960898221103,-0.0009766053745675928,126.5808182,162.10639758181856,36.68169061790299
2013,10,0.0014180157932928903,0.0015577338155171162,0.0014585858330350941,-0.0007099103360076514,108.8032913,125.17499722562371,8.082699038176003
2013,11,0.0013389795305117477,0.0014278839747989323,0.0013052313738279007,-0.0005709697826073337,106.08869170000001,145.616665841099,19.85320202965399
2013,12,0.00123536074438059,0.0012815916026553728,0.0012365583801731616,-0.000675801103561761,116.34694669999999,162.7185592844449,22.893422561877898
2014,1,0.00133256695931427,0.001419229955686788,0.001320244174121239,-0.0006250633965847278,136.6474304,157.04156872102345,21.462924964731986
2014,2,0.0013438004553126776,0.0013445235789559546,0.0013634571486974309,-0.0008751399830613826,170.0154114,186.7415140819053,20.161154718722297
2014,3,0.0013095778426632126,0.0012935069328294535,0.0014334348181625721,-0.0011475188011316158,251.1715546,234.8235484664153,14.885517952993162
2014,4,0.001295240343117349,0.001307612235021323,0.0013456030440159015,-0.0009002668718679232,150.52359009999998,168.2217775925068,18.461929632276654
2014,5,0.0012980454178831364,0.0013923390074842483,0.0013345219515309573,-0.0007118736954894692,97.17090607,154.68175722877623,27.922851647451456
2014,6,0.0014228879455039259,0.00149867317580862,0.0015285082080500139,-0.0009973950752918779,76.95014954,132.26197592746365,9.109603919811141
2014,7,0.0013236851879058211,0.0014228487432892728,0.0013423056363430622,-0.000673595067476878,114.6071777,142.24560046262778,27.885912657350822
2014,8,0.005042101993773706,0.004968895639707197,0.005077327655345082,-0.0038188771021879157,168.4329071,179.45994864501077,1.6757994987275397
2014,9,0.004811547420950793,0.004887507612826352,0.004730225048612989,-0.0031608006058906376,198.7192993,180.72047005929818,3.424828121914832
2014,10,0.0048437680072459756,0.004830967237612592,0.004763656083158753,-0.003323132770407304,91.75434113,122.42289455825072,2.836336997909376
