Ano,Mes,ISA_E_s_0.0,ISA_E_pred_s_0.0,Erro_s__s_0.0,ISA_E_s_0.05,ISA_E_pred_s_0.05,Erro_s__s_0.05,ISA_E_s_0.1,ISA_E_pred_s_0.1,Erro_s__s_0.1,ISA_E_s_0.15,ISA_E_pred_s_0.15,Erro_s__s_0.15,ISA_E_s_0.2,ISA_E_pred_s_0.2,Erro_s__s_0.2,ISA_E_s_0.25,ISA_E_pred_s_0.25,Erro_s__s_0.25
2020,3,91.8,95.45728633744491,1.1992262592631684,91.8,87.09716891108965,1.121965981970647,84.58065510564876,86.43404198220365,0.9691432487507408,88.74939792209449,88.67075549695687,0.17679108500473514,92.65340254154016,91.68788457939563,1.1503699657609132,92.92273405162818,92.44759104409772,0.56279628632199
2020,4,61.5,73.71176576250562,1.8862356867812602,61.5,84.56352254939242,0.777404242019849,81.79630094687272,81.03867879337467,2.7424132780519948,86.52751890649597,83.69113737242772,1.7426682147392691,92.77502555812197,92.31696989631104,0.4476342146291176,93.2137970349222,92.79351748193189,0.5149777104048151
2020,5,64.0,73.08070741115935,0.4756580160367374,63.99999999998856,78.19395933986635,1.0554064843736453,65.40020615686603,80.47825189509524,0.679871743036032,84.31800984753906,84.42689035284346,0.2985486455383118,92.93220437998426,92.78983179653532,0.040089703113202,93.4436472894327,93.02123331509448,0.4479069134832927
2020,6,72.6,82.12917765043142,2.6753772172789003,72.53236472660298,83.65316242729202,2.7005155676973214,72.66035705590353,79.92737198863915,1.5937244604756449,84.77682025605228,87.22398091798435,1.9233349558673858,93.19514727806354,93.00607290074366,0.1412907401289531,93.65451695082747,93.31465762022204,0.41169162884579363
2020,7,79.6,79.02757620995855,1.4263154063202144,79.59999999999944,87.41928534480175,0.8033451743280894,79.5444633529406,85.02640195038413,0.19772683066246047,86.47893659414375,85.7963428759245,0.595333402173997,93.35110664431176,93.41169808099804,0.34010703218667765,93.85940928313603,93.60406468541966,0.3969458982862983
2020,8,88.6,94.26930551351347,1.9700328472670154,86.25,90.53363286106506,0.5491940919098757,86.3257025162379,91.32115108400224,0.5363127160482416,84.92226836285843,84.14580005816586,2.279821050527373,93.48387629383446,93.70836398198296,0.5013094955497218,94.06271859627557,93.8214294231059,0.32358122462482464
2020,9,92.9,89.83635489855483,0.35478117081374666,92.89999999999947,90.46360831362993,1.4550481157632205,93.05408739862598,91.58671945910085,0.31795950109268833,87.84363032863354,89.6745100639206,2.7737062034361557,93.61627425987021,93.942702788423,0.6703960893769432,94.26658702328507,94.01086035025033,0.24479544932374472
2020,10,96.5,94.54362832834141,1.4970600860715675,95.93122017146861,91.24825188715425,0.466990361940595,92.77801359981225,92.8321624002153,0.5836492696334284,91.01431504080824,88.52564370671571,1.0110826000388036,93.75253015241744,94.24505015012717,0.8383299217139859,94.47294087052455,94.25245148455926,0.16955787907796743
2020,11,98.2,85.23433929490132,1.8253869290189155,97.69028708543665,92.40065514215894,0.8214777455409278,93.44470558479901,92.17170070769443,0.48864947024007566,94.34535875639882,90.42819509202883,1.015089990084223,93.89426129097518,94.48560830185524,0.9545418600955172,94.68346880571649,94.46940790999857,0.12004351317078281
2020,12,98.0,87.60180577591629,1.2423424574709865,97.19370817839147,90.90009820100923,0.7661471834490121,94.56065685454685,92.23147862025344,0.5722792294849655,97.7760668573841,92.6588599754736,1.0806120459857913,94.0407210859716,94.73568842905736,1.1166743969073682,94.89841345099377,94.71451131843477,0.042878466032615116
2021,1,95.3,87.99370856794592,0.47400793048407364,95.50995418344797,90.1395867054404,1.6541867742006264,95.56054150094724,94.46622481564569,0.8457415828552166,101.26962646920512,95.63406666779258,1.056431234084592,94.19071769227179,94.9803425285512,1.2048441138319665,95.11670182008957,94.89569203401236,0.04302511150806832
2021,2,93.4,88.13218142794987,0.41466477512739663,93.31839295761772,88.30630506728664,0.4650257379326261,96.47910144521543,94.91167167319192,0.6131446640615358,104.80181365876416,98.80435120649152,1.1521290235911166,94.34264438286637,95.15691163832393,1.248967238813532,95.3363806942009,95.19116077669288,0.026492972252641793
